"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","220uF 6.3v","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H_Pad1.50x2.35mm_HandSolder",""
"2","R1, R2","2","75R","Resistor_SMD:R_0805_2012Metric",""
