"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","220uF 6.3v","Capacitor_SMD:CP_Elec_6.3x5.9",""
"2","R1, R2","2","75R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
