"#","Reference","Qty","Value","Footprint","DNP"
"1","C1, C2","2","220uF 6.3v","Capacitor_THT:CP_Radial_D5.0mm_P2.50mm",""
"2","R1, R2","2","75R","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",""
